//==============================================================================
//Monster Set Base File [KOR]
//#www.darksideofmu.com
//by DaRKav (darkav@hotmail.com)
//------------------------------------------------------------------------------
//Revision 25 Apr, 2008		
//==============================================================================
//0 - Guards / NPC / Traps
//1 - Spots
//2 - Normal Monster
//3 - Bone King / Golden Monsters
//4 - Blood Castle Monsters / Gate / Others

//=========================================================================================
//	Invasion Golden
//=========================================================================================
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name	
3
43	3	30	10	10	240	240	-1	4	//Golden Budge Dragon
44	0	30	182	128	195	145	-1	7	//Golden Dragon
53	0	30	185	132	185	132	-1	2	//Golden Titan
55	0	30	132	83	132	83	-1	2	//Death King
54	0	30	183	128	188	135	-1	15	//Golden Soldier
56	0	30	132	83	138	90	-1	15	//Death Bone
78	0	30	10	10	240	240	-1	2	//Golden Goblin
79	0	30	10	10	240	240	-1	4	//Golden Dragon
80	0	30	185	132	185	132	-1	2	//Golden Lizard King
81	0	30	132	83	132	83	-1	7	//Golden Vepar
82	0	30	183	128	188	135	-1	2	//Golden Tantallos
83	0	30	132	83	138	90	-1	15	//Golden Iron Wheel
end

//=========================================================================================						
//	Lorencia NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
//	Kantru NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0						
367	38	0	141	191	2	//Equipment
368   	39      0       77      177 	2       //Elpis
end

//=========================================================================================							
//	Illusion Temple 1 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	45	0	207	47	2       //Statue
380	45	0	134     121 	2       //Statue
381     45      0       140     61 	2       //Sword Guard
382	45	0	195	116	2	//Illusion Guard
383	45	0	139	59	2       //Pedestal Spiral
383     45      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Illusion Temple 2 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	46	0	207	47	2       //Statue
380	46	0	134     121 	2       //Statue
381     46      0       140     61 	2       //Sword Guard
382	46	0	195	116	2	//Illusion Guard
383	46	0	139	59	2       //Pedestal Spiral
383     46      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Illusion Temple 3 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	47	0	207	47	2       //Statue
380	47	0	134     121 	2       //Statue
381     47      0       140     61 	2       //Sword Guard
382	47	0	195	116	2	//Illusion Guard
383	47	0	139	59	2       //Pedestal Spiral
383     47      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Illusion Temple 4 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	48	0	207	47	2       //Statue
380	48	0	134     121 	2       //Statue
381     48      0       140     61 	2       //Sword Guard
382	48	0	195	116	2	//Illusion Guard
383	48	0	139	59	2       //Pedestal Spiral
383     48      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Illusion Temple 5 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	49	0	207	47	2       //Statue
380	49	0	134     121 	2       //Statue
381     49      0       140     61 	2       //Sword Guard
382	49	0	195	116	2	//Illusion Guard
383	49	0	139	59	2       //Pedestal Spiral
383     49      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Illusion Temple 6 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	50	0	207	47	2       //Statue
380	50	0	134     121 	2       //Statue
381     50      0       140     61 	2       //Sword Guard
382	50	0	195	116	2	//Illusion Guard
383	50	0	139	59	2       //Pedestal Spiral
383     50      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Elbeland NPCs					
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
415	51	0	44	230	1	//Sivia
417	51	0	37	219	1	//Marseille
253	51	0	34	240	1	//Potion Girl
416	51	0	37	242	1	//Leah
240	51	0	22	224	1	//Baz, Storage Guard
246	51	0	28	237	2	//Zienna, Weapon Merchant
257	51	0	100	218	1	//Elf Soldier
257	51	0	45	164	1	//Elf Soldier
540	51	0	49	216	2	//Double Goer
240	51	0	52	229	1	//Baz, Storage Guard
end

//=========================================================================================							
//	Santas Map						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
468	62	0	191	24	1	//Little Santa Yellow
469	62	0	205	9	1	//Little Santa Green
470	62	0	236	7	1	//Little Santa Red
471	62	0	234	39	2	//Little Santa Blue
472	62	0	202	33	1	//Little Santa White
473	62	0	223	29	1	//Little Santa Black
474	62	0	213	27	1	//Little Santa Orange
475	62	0	214	17	1	//Little Santa Pink
465	62	0	229	40	2	//Santa Claus
end

//=========================================================================================							
//	Vulcan NPCs					
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
479	64	0	135	135	1	//Gatekeeper Titus
end

//=========================================================================================									
//================================= Lorencia Monsters - ==================================									
//=========================================================================================									
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name	
1	
0    	0  	30  	135  	20   	240   	88  	-1 	35	//Bull Fighter
0    	0  	10  	183 	158   	190  	165  	-1  	20	//Bull Fighter
0    	0  	10  	217 	187   	247  	221  	-1 	30	//Bull Fighter
0    	0  	10  	178 	224   	198  	240  	-1  	20	//Bull Fighter
0    	0  	10  	140  	70   	241  	104  	-1 	30	//Bull Fighter
1    	0  	30    	8  	11    	94  	244  	-1 	35	//Hound
1    	0  	30   	13 	123   	100  	232  	-1 	35 	//Hound
2    	0  	30  	180  	90   	226  	244  	-1 	35	//Budge Dragon
2    	0  	30  	135  	20   	240   	88  	-1 	30	//Budge Dragon
2    	0  	30  	180  	90   	226  	244  	-1 	35	//Budge Dragon
2    	0  	30  	135  	20   	240   	88  	-1 	30	//Budge Dragon
2    	0  	30  	210 	120   	243  	180  	-1	30	//Budge Dragon
2    	0  	10  	178 	224   	198  	240  	-1  	20	//Budge Dragon
2    	0  	30   	13 	173   	100  	232  	-1  	20	//Budge Dragon
2   	0  	10  	182  	126   	9  	10  	-1 	35	//Spider
3    	0  	15  	182  	126   	6  	4  	-1 	35	//Spider
351	37	0	43	229	0	0	-1	20	//
351	37	0	44	234	10	0	-1	20	//
4    	0  	30    	8  	11    	94  	244  	-1 	35	//Elite Bull Fighter
4    	0  	10  	103 	183   	114  	188  	-1  	16	//Elite Bull Fighter
4    	0  	30   	15  	64    	80  	108  	-1 	22 	//Elite Bull Fighter
4    	0  	10   	53  	30    	78   	50  	-1 	23	//Elite Bull Fighter
6    	0  	30   	95 	168  	175  	244  	-1 	35	//Lich
6    	0  	10  	129 	209   	149  	225  	-1  	17	//Lich
6    	0  	10  	150  	19   	240   	41  	-1  	17	//Lich
6    	0  	10   	46 	169    	47  	170  	-1  	18	//Lich
7    	0  	30    	8  	11    	60   	80  	-1 	35	//Giant
14   	0  	30   	95 	168   	175  	244  	-1 	35 	//Skeleton Warrior
14   	0  	20  	133  	170   	20   	11  	-1 	30	//Skeleton Warrior
end



//=========================================================================================							
//================================= Dungeon Monsters - ===================================							
//=========================================================================================							
//Mob	Map	Radio	CordX	CordY	Strong	Name	
2							
5	1	30	170	126	-1	//Hell Hound
5	1	30	163	114	-1	//Hell Hound
5	1	30	163	125	-1	//Hell Hound
5	1	30	145	118	-1	//Hell Hound
5	1	30	123	120	-1	//Hell Hound
5	1	30	138	86	-1	//Hell Hound
5	1	30	120	75	-1	//Hell Hound
5	1	30	81	58	-1	//Hell Hound
5	1	30	71	53	-1	//Hell Hound
5	1	30	69	88	-1	//Hell Hound
5	1	30	98	111	-1	//Hell Hound
5	1	30	87	114	-1	//Hell Hound
5	1	30	65	127	-1	//Hell Hound
5	1	30	70	76	-1	//Hell Hound
8	1	30	205	24	-1	//Poison Bull	
8	1	30	39	112	-1	//Poison Bull	
8	1	30	26	111	-1	//Poison Bull	
8	1	30	15	113	-1	//Poison Bull	
8	1	30	12	97	-1	//Poison Bull	
8	1	30	44	56	-1	//Poison Bull	
8	1	30	25	100	-1	//Poison Bull	
8	1	30	187	15	-1	//Poison Bull	
8	1	30	158	17	-1	//Poison Bull	
8	1	30	21	82	-1	//Poison Bull	
8	1	30	42	122	-1	//Poison Bull	
8	1	30	4	73	-1	//Poison Bull	
8	1	30	12	56	-1	//Poison Bull	
8	1	30	2	78	-1	//Poison Bull	
8	1	30	119	47	-1	//Poison Bull	
8	1	30	16	55	-1	//Poison Bull	
8	1	30	35	55	-1	//Poison Bull	
8	1	30	116	47	-1	//Poison Bull	
8	1	30	122	46	-1	//Poison Bull	
8	1	30	193	30	-1	//Poison Bull	
9	1	30	28	18	-1	//Thunder Lich
9	1	30	22	4	-1	//Thunder Lich
9	1	30	18	29	-1	//Thunder Lich
9	1	30	18	23	-1	//Thunder Lich
9	1	30	34	4	-1	//Thunder Lich
9	1	30	22	90	-1	//Thunder Lich
9	1	30	33	78	-1	//Thunder Lich
9	1	30	42	117	-1	//Thunder Lich
9	1	30	118	11	-1	//Thunder Lich
9	1	30	38	23	-1	//Thunder Lich
9	1	30	160	10	-1	//Thunder Lich
9	1	30	194	18	-1	//Thunder Lich
9	1	30	213	12	-1	//Thunder Lich
9	1	30	221	14	-1	//Thunder Lich
9	1	30	243	16	-1	//Thunder Lich
9	1	30	233	66	-1	//Thunder Lich
9	1	30	30	105	-1	//Thunder Lich
9	1	30	27	53	-1	//Thunder Lich
9	1	30	10	68	-1	//Thunder Lich
9	1	30	33	90	-1	//Thunder Lich
9	1	30	12	121	-1	//Thunder Lich			
10	1	30	41	88	-1	//Dark Knight
10	1	30	19	120	-1	//Dark Knight
10	1	30	37	98	-1	//Dark Knight
10	1	30	14	107	-1	//Dark Knight
10	1	30	22	65	-1	//Dark Knight
10	1	30	39	77	-1	//Dark Knight
10	1	30	29	66	-1	//Dark Knight
11	1	30	69	167	-1	//Ghost
11	1	30	136	149	-1	//Ghost
11	1	30	133	212	-1	//Ghost
11	1	30	135	212	-1	//Ghost
11	1	30	151	212	-1	//Ghost
11	1	30	168	220	-1	//Ghost
11	1	30	46	146	-1	//Ghost
11	1	30	49	182	-1	//Ghost
11	1	30	44	162	-1	//Ghost
11	1	30	45	180	-1	//Ghost
11	1	30	45	183	-1	//Ghost
11	1	30	164	232	-1	//Ghost
11	1	30	92	157	-1	//Ghost
11	1	30	102	174	-1	//Ghost
11	1	30	113	166	-1	//Ghost
11	1	30	222	223	-1	//Ghost
11	1	30	163	184	-1	//Ghost
11	1	30	164	186	-1	//Ghost
11	1	30	150	193	-1	//Ghost
11	1	30	142	218	-1	//Ghost
11	1	30	199	116	-1	//Ghost
11	1	30	240	247	-1	//Ghost
11	1	30	242	247	-1	//Ghost
11	1	30	241	226	-1	//Ghost
11	1	30	246	220	-1	//Ghost
11	1	30	243	201	-1	//Ghost
11	1	30	244	192	-1	//Ghost
11	1	30	213	248	-1	//Ghost
11	1	30	148	149	-1	//Ghost
11	1	30	247	7	-1	//Ghost
11	1	30	240	7	-1	//Ghost
11	1	30	241	9	-1	//Ghost
11	1	30	227	248	-1	//Ghost
11	1	30	181	246	-1	//Ghost
11	1	30	86	150	-1	//Ghost
11	1	30	98	145	-1	//Ghost
11	1	30	45	188	-1	//Ghost
11	1	30	53	188	-1	//Ghost
11	1	30	52	166	-1	//Ghost
11	1	30	62	154	-1	//Ghost
11	1	30	70	154	-1	//Ghost
11	1	30	77	152	-1	//Ghost
11	1	30	110	145	-1	//Ghost
11	1	30	119	146	-1	//Ghost
11	1	30	120	159	-1	//Ghost
11	1	30	111	188	-1	//Ghost
11	1	30	125	195	-1	//Ghost
11	1	30	135	196	-1	//Ghost
11	1	30	144	187	-1	//Ghost
11	1	30	125	218	-1	//Ghost
11	1	30	197	245	-1	//Ghost
11	1	30	247	211	-1	//Ghost
11	1	30	231	186	-1	//Ghost
11	1	30	223	187	-1	//Ghost
11	1	30	213	186	-1	//Ghost
11	1	30	209	175	-1	//Ghost
11	1	30	183	128	-1	//Ghost
12	1	30	73	241	-1	//Larva
12	1	30	193	224	-1	//Larva
12	1	30	194	222	-1	//Larva
12	1	30	194	221	-1	//Larva
12	1	30	79	154	-1	//Larva
12	1	30	78	189	-1	//Larva
12	1	30	100	198	-1	//Larva
12	1	30	95	192	-1	//Larva
12	1	30	90	187	-1	//Larva
12	1	30	137	241	-1	//Larva
12	1	30	130	244	-1	//Larva
12	1	30	86	196	-1	//Larva
12	1	30	46	210	-1	//Larva
12	1	30	61	213	-1	//Larva
12	1	30	69	222	-1	//Larva
12	1	30	57	247	-1	//Larva
12	1	30	49	246	-1	//Larva
12	1	30	87	177	-1	//Larva
12	1	30	70	195	-1	//Larva
12	1	30	65	205	-1	//Larva
12	1	30	134	240	-1	//Larva
13	1	30	112	93	-1	//Hell Spider
13	1	30	104	65	-1	//Hell Spider
13	1	30	183	27	-1	//Hell Spider
13	1	30	114	20	-1	//Hell Spider
13	1	30	247	87	-1	//Hell Spider
13	1	30	149	94	-1	//Hell Spider
13	1	30	126	94	-1	//Hell Spider
13	1	30	168	96	-1	//Hell Spider
13	1	30	196	100	-1	//Hell Spider
14	1	30	120	232	-1	//Skeleton Warrior	
14	1	30	107	230	-1	//Skeleton Warrior	
14	1	30	84	244	-1	//Skeleton Warrior	
14	1	30	94	242	-1	//Skeleton Warrior	
14	1	30	108	195	-1	//Skeleton Warrior	
14	1	30	94	208	-1	//Skeleton Warrior	
14	1	30	62	181	-1	//Skeleton Warrior	
14	1	30	33	209	-1	//Skeleton Warrior	
14	1	30	31	247	-1	//Skeleton Warrior	
14	1	30	3	246	-1	//Skeleton Warrior	
14	1	30	29	246	-1	//Skeleton Warrior	
14	1	30	83	198	-1	//Skeleton Warrior	
14	1	30	45	201	-1	//Skeleton Warrior	
14	1	30	120	243	-1	//Skeleton Warrior	
14	1	30	99	49	-1	//Skeleton Warrior	
14	1	30	152	247	-1	//Skeleton Warrior	
14	1	30	156	247	-1	//Skeleton Warrior	
14	1	30	97	187	-1	//Skeleton Warrior	
14	1	30	105	208	-1	//Skeleton Warrior	
14	1	30	85	208	-1	//Skeleton Warrior	
14	1	30	84	220	-1	//Skeleton Warrior	
14	1	30	85	229	-1	//Skeleton Warrior	
14	1	30	68	227	-1	//Skeleton Warrior	
14	1	30	61	238	-1	//Skeleton Warrior	
14	1	30	73	245	-1	//Skeleton Warrior	
14	1	30	3	232	-1	//Skeleton Warrior	
14	1	30	3	219	-1	//Skeleton Warrior	
14	1	30	7	219	-1	//Skeleton Warrior	
14	1	30	17	211	-1	//Skeleton Warrior	
15	1	30	61	169	-1	//Skeleton Archer
15	1	30	217	229	-1	//Skeleton Archer
15	1	30	141	110	-1	//Skeleton Archer
15	1	30	98	54	-1	//Skeleton Archer
15	1	30	114	110	-1	//Skeleton Archer
15	1	30	68	110	-1	//Skeleton Archer
15	1	30	76	111	-1	//Skeleton Archer
15	1	30	156	125	-1	//Skeleton Archer
15	1	30	193	148	-1	//Skeleton Archer
15	1	30	188	145	-1	//Skeleton Archer
15	1	30	206	152	-1	//Skeleton Archer
15	1	30	212	151	-1	//Skeleton Archer
15	1	30	247	176	-1	//Skeleton Archer
15	1	30	175	127	-1	//Skeleton Archer
15	1	30	175	118	-1	//Skeleton Archer
15	1	30	183	123	-1	//Skeleton Archer
15	1	30	68	125	-1	//Skeleton Archer
15	1	30	80	97	-1	//Skeleton Archer
16	1	30	108	9	-1	//Elite Skeleton	
16	1	30	159	41	-1	//Elite Skeleton	
16	1	30	115	8	-1	//Elite Skeleton	
16	1	30	124	20	-1	//Elite Skeleton	
16	1	30	90	6	-1	//Elite Skeleton	
16	1	30	212	83	-1	//Elite Skeleton	
16	1	30	211	90	-1	//Elite Skeleton	
16	1	30	226	58	-1	//Elite Skeleton	
16	1	30	239	56	-1	//Elite Skeleton	
16	1	30	235	23	-1	//Elite Skeleton	
16	1	30	29	80	-1	//Elite Skeleton	
16	1	30	86	105	-1	//Elite Skeleton	
16	1	30	88	104	-1	//Elite Skeleton	
16	1	30	240	77	-1	//Elite Skeleton	
16	1	30	247	77	-1	//Elite Skeleton	
16	1	30	248	20	-1	//Elite Skeleton	
16	1	30	244	9	-1	//Elite Skeleton	
16	1	30	229	11	-1	//Elite Skeleton	
16	1	30	155	32	-1	//Elite Skeleton	
16	1	30	137	33	-1	//Elite Skeleton	
16	1	30	122	29	-1	//Elite Skeleton	
16	1	30	48	11	-1	//Elite Skeleton	
17	1	30	18	220	-1	//Cyclops
17	1	30	230	173	-1	//Cyclops
17	1	30	236	167	-1	//Cyclops
17	1	30	241	173	-1	//Cyclops
17	1	30	173	200	-1	//Cyclops
17	1	30	165	171	-1	//Cyclops
17	1	30	208	162	-1	//Cyclops
17	1	30	220	161	-1	//Cyclops
17	1	30	176	188	-1	//Cyclops
17	1	30	168	150	-1	//Cyclops
17	1	30	156	171	-1	//Cyclops
17	1	30	176	161	-1	//Cyclops
17	1	30	185	161	-1	//Cyclops
17	1	30	181	171	-1	//Cyclops
17	1	30	198	168	-1	//Cyclops
17	1	30	190	172	-1	//Cyclops
17	1	30	128	232	-1	//Cyclops
17	1	30	13	235	-1	//Cyclops
17	1	30	27	236	-1	//Cyclops
17	1	30	143	232	-1	//Cyclops
17	1	30	50	211	-1	//Cyclops
17	1	30	220	172	-1	//Cyclops
17	1	30	247	168	-1	//Cyclops
17	1	30	52	222	-1	//Cyclops
17	1	30	50	235	-1	//Cyclops
17	1	30	38	234	-1	//Cyclops
17	1	30	16	227	-1	//Cyclops
17	1	30	25	220	-1	//Cyclops
17	1	30	235	108	-1	//Cyclops
17	1	30	228	105	-1	//Cyclops
17	1	30	214	116	-1	//Cyclops
18	1	30	43	111	-1	//Gorgon			
18	1	30	8	123	-1	//Gorgon			
18	1	30	7	56	-1	//Gorgon			
18	1	30	26	67	-1	//Gorgon			
end

//=========================================================================================										
//================================= Devias Monsters - ====================================										
//=========================================================================================										
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir	Quant	Name	
1										
19	2	30	50	6	166	244	-1	45	//Yeti
20	2	30	50	6	166	244	-1	37	//Elite Yeti
20	2	30	5	50	50	155	-1	38	//Elite Yeti
20	2	30	6	184	80	244	-1	33	//Elite Yeti
21	2	30	50	6	166	244	-1	45	//Assassin
22	2	30	50	6	166	244	-1	45	//Ice Monster
23	2	30	170	80	245	200	-1	32	//Hommerd
23	2	30	50	6	166	244	-1	45	//Hommerd
24	2	30	170	80	245	200	-1	45	//Worm
25	2	30	6	184	80	244	-1	15	//Ice Queen
24	2	30	240	75	245	79	-1	15	//Worm
24	2	30	240	90	242	92	-1	15	//Worm
24	2	30	238	130	242	132	-1	15	//Worm
21	2	5	50	6	166	244	-1	15	//Assassin
22	2	5	50	6	166	244	-1	15	//Ice Monster
23	2	5	170	80	245	200	-1	15	//Hommerd
23	2	5	50	6	166	244	-1	15	//Hommerd
24	2	5	170	80	245	200	-1	15	//Worm
25	2	5	6	184	80	244	-1	15	//Ice Queen
20	2	5	211	211	223	223	0	30      //Elite Yeti
20	2	5	224	210	245	224	0	30      //Elite Yeti
20	2	5	210	191	248	208	0	40      //Elite Yeti
end

//=========================================================================================										
//================================= Devias Monsters - ====================================										
//=========================================================================================										
//Mob	Map	Radio	CordX	CordY	Strong	Name				
2										
20	2	30	203	244	-1	//Elite Yeti
20	2	30	194	241	-1	//Elite Yeti
20	2	30	203	232	-1	//Elite Yeti
20	2	30	209	224	-1	//Elite Yeti
20	2	30	186	224	-1	//Elite Yeti
20	2	30	200	171	-1	//Elite Yeti
20	2	30	207	158	-1	//Elite Yeti
20	2	30	221	177	-1	//Elite Yeti
20	2	30	213	193	-1	//Elite Yeti
20	2	30	196	218	-1	//Elite Yeti
20	2	30	230	200	-1	//Elite Yeti
20	2	30	221	160	-1	//Elite Yeti
20	2	30	205	149	-1	//Elite Yeti
20	2	30	184	166	-1	//Elite Yeti
20	2	30	212	170	-1	//Elite Yeti
20	2	30	203	201	-1	//Elite Yeti
20	2	30	190	146	-1	//Elite Yeti
20	2	30	189	160	-1	//Elite Yeti
20	2	30	207	183	-1	//Elite Yeti
20	2	30	218	201	-1	//Elite Yeti
20	2	30	240	207	-1	//Elite Yeti
20	2	30	238	184	-1	//Elite Yeti
20	2	30	227	167	-1	//Elite Yeti
20	2	30	202	209	-1	//Elite Yeti
20	2	30	113	105	-1	//Elite Yeti
20	2	30	96	103	-1	//Elite Yeti
20	2	30	102	117	-1	//Elite Yeti
20	2	30	241	198	-1	//Elite Yeti
20	2	30	228	184	-1	//Elite Yeti
20	2	30	193	231	-1	//Elite Yeti
20	2	30	214	152	-1	//Elite Yeti
20	2	30	197	183	-1	//Elite Yeti
24	2	30	162	11	-1	//Worm
24	2	30	244	80	-1	//Worm
24	2	30	238	88	-1	//Worm
24	2	30	229	83	-1	//Worm
24	2	30	170	6	-1	//Worm
24	2	30	161	58	-1	//Worm
24	2	30	180	78	-1	//Worm
25	2	30	74	239	-1	//Ice Queen			
25	2	30	70	212	-1	//Ice Queen			
25	2	30	45	189	-1	//Ice Queen			
25	2	30	113	230	-1	//Ice Queen			
25	2	30	94	203	-1	//Ice Queen
25	2	30	63	160	-1	//Ice Queen
25	2	30	51	227	-1	//Ice Queen
25	2	30	116	210	-1	//Ice Queen
end

//=========================================================================================							
//================================= Noria Monsters - ====================================							
//=========================================================================================							
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir	Quant	Name	
1										
26	3	30	128	0	251	128	-1	45	//Goblin
27	3	30	128	0	251	128	-1	45	//Chain Scorpion
28	3	30	0	0	128	128	-1	55	//Beetle Monster
29	3	30	0	0	128	128	-1	45	//Hunter
30	3	30	0	128	251	245	-1	45	//Forest Monster
31	3	30	0	128	251	245	-1	45	//Agon
32	3	30	128	128	251	245	-1	45	//Stone Golem
33	3	30	0	128	128	245	-1	45	//Elite Goblin
end


//=========================================================================================							
//================================= LostTower Monsters - ==========================================							
//=========================================================================================							
//Mob	Map	Radio	CordX	CordY	Strong	Name	
2							
34	4	30	167	197	-1	//Cursed Wizard
34	4	30	192	203	-1	//Cursed Wizard
34	4	30	191	244	-1	//Cursed Wizard
34	4	30	235	237	-1	//Cursed Wizard
34	4	30	224	235	-1	//Cursed Wizard
34	4	30	206	237	-1	//Cursed Wizard
34	4	30	200	228	-1	//Cursed Wizard
34	4	30	209	212	-1	//Cursed Wizard
34	4	30	225	196	-1	//Cursed Wizard
