//==============================================================================
//Monster Artificial Intellegence Group [KOR]
//#Dao Van Trong - Trong.CF
//------------------------------------------------------------------------------
//Revision 10 Mar, 2011
//==============================================================================
//±×·ì¿¡ Æ÷ÇÔµÇ´Â ¸ó½ºÅÍµéÀÇ ¹øÈ£¸¦ ±ÔÁ¤
//ÃÊ±â ½ÃÀÛ À§Ä¡¿Í ¹æÇâÀ» °áÁ¤

//Rank : -1 [·©Å©¾øÀ½] 0 [´ëÀå]
//StartCreation : -1 [»ý¼º¾ÈÇÔ] 0 [½ÃÀÛÀ§Ä¡»ý¼º] 1 [½ÃÀÛÀ§Ä¡·£´ý»ý¼º]
//RegenType : 1 [¼ÒÈ¯] 0 [±âº»¸®Á¨] -1 [¸®Á¨¾ÈÇÔ]

//------------------------------------------------------------------------------------------------------------------------------//
// 	Group	Nro	GClass	Rank	AI	??	??	??	Create	Map	X1	Y1	Dir	Regenerate	//
//------------------------------------------------------------------------------------------------------------------------------//
0
	9	3	348	-1	10	54	54	54	0	34	62	31	-1	-1
	10	0	340	0	10	19	39	2	0	34	167	27	-1	1
	10	1	341	-1	10	1	1	1	0	34	163	29	-1	1
	10	2	341	-1	10	1	1	1	0	34	163	27	-1	1
	10	3	341	-1	10	1	1	1	0	34	163	25	-1	1
	10	4	341	-1	10	1	1	1	0	34	165	26	-1	1
	10	5	341	-1	10	1	1	1	0	34	165	28	-1	1
	11	0	340	0	10	20	40	2	0	34	167	39	-1	1
	11	1	341	-1	10	1	1	1	0	34	165	38	-1	1
	11	2	341	-1	10	1	1	1	0	34	163	37	-1	1
	11	3	341	-1	10	1	1	1	0	34	163	39	-1	1
	11	4	341	-1	10	1	1	1	0	34	165	40	-1	1
	11	5	341	-1	10	1	1	1	0	34	163	41	-1	1
	12	0	340	0	10	21	41	2	0	34	174	33	-1	1
	12	1	341	-1	10	1	1	1	0	34	167	35	-1	1
	12	2	341	-1	10	1	1	1	0	34	167	33	-1	1
	12	3	341	-1	10	1	1	1	0	34	167	31	-1	1
	12	4	344	-1	10	1	1	1	0	34	169	32	-1	1
	12	5	344	-1	10	1	1	1	0	34	169	34	-1	1
	12	6	345	-1	10	1	1	1	0	34	171	33	-1	1
	12	7	345	-1	10	1	1	1	0	34	171	30	-1	1
	12	8	345	-1	10	1	1	1	0	34	171	36	-1	1
	13	0	340	0	10	22	42	2	0	34	179	33	-1	1
	13	1	344	-1	10	1	1	1	0	34	183	33	-1	1
	13	2	348	-1	10	55	55	55	0	34	183	36	-1	-1
	13	3	348	-1	10	56	56	56	0	34	183	30	-1	-1
	20	0	362	0	60	61	62	63	0	39	202	83	2	-1
	21	0	363	0	60	61	62	63	0	39	189	82	2	-1
	22	0	362	0	60	64	65	67	0	39	202	83	2	-1
	22	1	363	-1	60	64	66	67	0	39	189	82	2	-1
	23	0	361	0	68	69	70	71	0	39	78	141	2	-1

	24	0	512	0	10	72	72	72	0	69	233	50	-1	1
	24	1	519	-1	10	73	73	73	0	69	237	48	-1	-1
	24	2	520	-1	10	1	1	1	0	69	229	39	-1	-1
	24	3	520	-1	10	1	1	1	0	69	234	37	-1	-1
	24	4	519	-1	10	73	73	73	0	69	240	43	-1	-1
	24	5	520	-1	10	1	1	1	0	69	222	36	-1	-1
	24	6	520	-1	10	1	1	1	0	69	222	44	-1	-1
	25	0	513	0	10	72	72	72	0	69	175	25	-1	1
	25	1	519	-1	10	73	73	73	0	69	172	21	-1	-1
	25	2	520	-1	10	1	1	1	0	69	179	31	-1	-1
	25	3	518	-1	10	1	1	1	0	69	186	29	-1	-1
	25	4	519	-1	10	73	73	73	0	69	185	19	-1	-1
	25	5	518	-1	10	1	1	1	0	69	177	17	-1	-1
	25	6	521	-1	10	1	1	1	0	69	179	35	-1	-1
	26	0	508	0	10	72	72	72	0	69	182	92	-1	1 // DESTLER BOSS
	26	1	519	-1	10	73	73	73	0	69	184	90	-1	-1
	26	2	521	-1	10	1	1	1	0	69	181	89	-1	-1
	26	3	521	-1	10	1	1	1	0	69	177	91	-1	-1
	26	4	519	-1	10	73	73	73	0	69	178	95	-1	-1
	26	5	518	-1	10	1	1	1	0	69	181	97	-1	-1
	26	6	520	-1	10	1	1	1	0	69	184	95	-1	-1
	27	0	515	0	10	72	72	72	0	70	59	64	-1	1
	27	1	521	-1	10	1	1	1	0	70	59	61	-1	-1
	27	2	521	-1	10	1	1	1	0	70	62	66	-1	-1
	27	3	519	-1	10	73	73	73	0	70	57	66	-1	-1
	27	4	519	-1	10	73	73	73	0	70	60	59	-1	-1
	27	5	518	-1	10	1	1	1	0	70	67	61	-1	-1
	27	6	518	-1	10	1	1	1	0	70	69	65	-1	-1
	28	0	514	0	10	72	72	72	0	70	39	104	-1	1
	28	1	520	-1	10	1	1	1	0	70	44	104	-1	-1
	28	2	520	-1	10	1	1	1	0	70	33	104	-1	-1
	28	3	518	-1	10	1	1	1	0	70	38	101	-1	-1
	28	4	518	-1	10	1	1	1	0	70	40	101	-1	-1
	28	5	519	-1	10	73	73	73	0	70	38	108	-1	-1
	28	6	519	-1	10	73	73	73	0	70	40	108	-1	-1
	29	0	509	0	10	72	72	72	0	70	95	109	-1	1 // VERMONT BOSS
	29	1	518	-1	10	1	1	1	0	70	97	107	-1	-1
	29	2	518	-1	10	1	1	1	0	70	98	110	-1	-1
	29	3	521	-1	10	1	1	1	0	70	96	112	-1	-1
	29	4	521	-1	10	1	1	1	0	70	94	107	-1	-1
	29	5	520	-1	10	1	1	1	0	70	92	111	-1	-1
	29	6	519	-1	10	73	73	73	0	70	92	109	-1	-1
	30	0	516	0	10	72	72	72	0	71	131	192	-1	1
	30	1	521	-1	10	1	1	1	0	71	129	189	-1	-1
	30	2	521	-1	10	1	1	1	0	71	132	187	-1	-1
	30	3	521	-1	10	1	1	1	0	71	135	189	-1	-1
	30	4	518	-1	10	1	1	1	0	71	135	198	-1	-1
	30	5	519	-1	10	73	73	73	0	71	131	198	-1	-1
	30	6	519	-1	10	73	73	73	0	71	128	195	-1	-1
	31	0	517	0	10	72	72	72	0	71	223	142	-1	1
	31	1	520	-1	10	1	1	1	0	71	221	139	-1	-1
	31	2	518	-1	10	1	1	1	0	71	223	139	-1	-1
	31	3	518	-1	10	1	1	1	0	71	225	139	-1	-1
	31	4	519	-1	10	73	73	73	0	71	221	144	-1	-1
	31	5	519	-1	10	73	73	73	0	71	225	145	-1	-1
	31	6	519	-1	10	73	73	73	0	71	225	148	-1	-1
	32	0	510	0	10	72	72	72	0	71	168	228	-1	1 // KATO BOSS
	32	1	520	-1	10	1	1	1	0	71	169	224	-1	-1
	32	2	520	-1	10	1	1	1	0	71	167	224	-1	-1
	32	3	521	-1	10	1	1	1	0	71	170	228	-1	-1
	32	4	519	-1	10	73	73	73	0	71	166	228	-1	-1
	32	5	519	-1	10	73	73	73	0	71	169	232	-1	-1
	32	6	519	-1	10	73	73	73	0	71	167	232	-1	-1
	33	0	511	0	10	72	72	72	0	69	182	92	-1	1 // GALIA BOSS
	33	1	519	-1	10	73	73	73	0	69	184	90	-1	-1
	33	2	521	-1	10	1	1	1	0	69	181	89	-1	-1
	33	3	521	-1	10	1	1	1	0	69	177	91	-1	-1
	33	4	519	-1	10	73	73	73	0	69	178	95	-1	-1
	33	5	518	-1	10	1	1	1	0	69	181	97	-1	-1
	33	6	520	-1	10	1	1	1	0	69	184	95	-1	-1
	34	0	507	0	10	72	72	72	0	70	95	109	-1	1 // ERKANNE BOSS
	34	1	518	-1	10	1	1	1	0	70	97	107	-1	-1
	34	2	518	-1	10	1	1	1	0	70	98	110	-1	-1
	34	3	521	-1	10	1	1	1	0	70	96	112	-1	-1
	34	4	521	-1	10	1	1	1	0	70	94	107	-1	-1
	34	5	520	-1	10	1	1	1	0	70	92	111	-1	-1
	34	6	519	-1	10	73	73	73	0	70	92	109	-1	-1
	35	0	506	0	10	72	72	72	0	71	168	228	-1	1 // RAYMOND BOSS
	35	1	520	-1	10	1	1	1	0	71	169	224	-1	-1
	35	2	520	-1	10	1	1	1	0	71	167	224	-1	-1
	35	3	521	-1	10	1	1	1	0	71	170	228	-1	-1
	35	4	519	-1	10	73	73	73	0	71	166	228	-1	-1
	35	5	519	-1	10	73	73	73	0	71	169	232	-1	-1
	35	6	519	-1	10	73	73	73	0	71	167	232	-1	-1
	36	0	506	0	10	72	72	72	0	72	66	68	-1	1 // RAYMOND BOSS
	36	1	520	-1	10	1	1	1	0	72	66	72	-1	-1
	36	2	520	-1	10	1	1	1	0	72	66	65	-1	-1
	36	3	521	-1	10	1	1	1	0	72	69	69	-1	-1
	36	4	518	-1	10	1	1	1	0	72	61	70	-1	-1
	36	5	518	-1	10	1	1	1	0	72	61	67	-1	-1
	36	6	519	-1	10	73	73	73	0	72	64	69	-1	-1
	37	0	509	0	10	72	72	72	0	72	37	187	-1	1 // VERMONT BOSS
	37	1	518	-1	10	1	1	1	0	72	35	186	-1	-1
	37	2	518	-1	10	1	1	1	0	72	35	188	-1	-1
	37	3	521	-1	10	1	1	1	0	72	37	185	-1	-1
	37	4	521	-1	10	1	1	1	0	72	37	189	-1	-1
	37	5	519	-1	10	73	73	73	0	72	40	186	-1	-1
	37	6	519	-1	10	73	73	73	0	72	40	188	-1	-1
	38	0	505	0	10	72	72	72	0	72	165	132	-1	1 // JERINT BOSS
	38	1	518	-1	10	1	1	1	0	72	162	130	-1	-1
	38	2	518	-1	10	1	1	1	0	72	162	134	-1	-1
	38	3	521	-1	10	1	1	1	0	72	167	128	-1	-1
	38	4	521	-1	10	1	1	1	0	72	167	136	-1	-1
	38	5	519	-1	10	73	73	73	0	72	170	132	-1	-1
	38	6	519	-1	10	73	73	73	0	72	171	133	-1	-1
	39	0	504	0	10	72	72	72	0	72	183	25	-1	1 // GAION KHARERIN BOSS
	39	1	521	-1	10	1	1	1	0	72	186	23	-1	-1
	39	2	521	-1	10	1	1	1	0	72	186	25	-1	-1
	39	3	521	-1	10	1	1	1	0	72	186	27	-1	-1
	39	4	521	-1	10	1	1	1	0	72	186	29	-1	-1
	39	5	519	-1	10	73	73	73	0	72	183	28	-1	-1
	39	6	519	-1	10	73	73	73	0	72	185	28	-1	-1
	39	7	519	-1	10	73	73	73	0	72	184	21	-1	-1
	39	8	518	-1	10	1	1	1	0	72	190	23	-1	-1
	39	9	518	-1	10	1	1	1	0	72	190	25	-1	-1
	39	10	518	-1	10	1	1	1	0	72	193	24	-1	-1
end

