//ItemIndex	ItemSubGroup	ItemSubIndex	szModelFolder	szModelName	szItemName	KindA	KindB	Type	TwoHands	DropLevel	Slot	SkillIndex	Width	Height	DamageMin	DamageMax	DefenseRate	Defense	MagicResistance	AttackSpeed	WalkSpeed	Durability	MagicDur	MagicPower	ReqStr	ReqDex	ReqEne	ReqVit	ReqCmd	ReqLvl	ItemValue	Money	SetAttr	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC	Resist[0]	Resist[1]	Resist[2]	Resist[3]	Resist[4]	Resist[5]	Resist[6]	Dump	Transaction	PersonalStore	Warehouse	SellNpc	Expensive	Repair	Overlap	PcFlag	MuunFlag	Unk_End[0]	Unk_End[1]	Unk_End[2]
10	0	10	"Data\Item\"	"sword11.bmd"	"Light Saber"	1	1	1	1	40	0	22	2	4	47	61	0	0	0	25	0	50	0	0	80	60	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
11	0	11	"Data\Item\"	"sword12.bmd"	"Legendary Sword"	1	1	1	1	44	0	20	2	3	56	72	0	0	0	20	0	54	0	0	120	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
12	0	12	"Data\Item\"	"sword13.bmd"	"Heliacal Sword"	1	1	1	1	56	0	19	2	3	73	98	0	0	0	25	0	66	0	0	140	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
13	0	13	"Data\Item\"	"sword14.bmd"	"Double Blade"	1	1	1	0	48	0	22	1	3	48	56	0	0	0	30	0	43	0	0	70	70	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
14	0	14	"Data\Item\"	"sword15.bmd"	"Lighting Sword"	1	1	1	0	59	0	22	1	3	59	67	0	0	0	30	0	50	0	0	90	50	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
15	0	15	"Data\Item\"	"sword16.bmd"	"Giant Sword"	1	1	1	1	52	0	23	2	3	60	85	0	0	0	20	0	60	0	0	140	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
16	0	16	"Data\Item\"	"sword17.bmd"	"Sword of Destruction"	1	1	1	0	82	0	22	1	4	82	90	0	0	0	35	0	84	0	0	160	60	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
17	0	17	"Data\Item\"	"sword18.bmd"	"Dark Breaker"	1	1	1	1	104	0	23	2	4	128	153	0	0	0	40	0	89	0	0	180	50	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
18	0	18	"Data\Item\"	"sword19.bmd"	"Thunder Blade"	1	2	1	1	105	0	23	2	3	140	168	0	0	0	40	0	86	0	0	180	50	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
19	0	19	"Data\Item\"	"sword20.bmd"	"Divine Sword of Archangel"	1	1	6	0	86	0	22	1	4	220	230	0	0	0	45	0	168	0	0	140	50	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
20	0	20	"Data\Item\"	"sword21.bmd"	"Knight Blade"	1	1	1	0	140	0	22	1	4	107	115	0	0	0	35	0	90	0	0	116	38	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
21	0	21	"Data\Item\"	"sword22.bmd"	"Dark Reign Blade"	1	2	1	1	140	0	56	2	4	115	142	0	0	0	40	0	100	0	115	116	53	9	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
22	0	22	"Data\Item\"	"HDK_Sword.bmd"	"Bone Blade"	1	1	3	0	147	0	22	1	4	122	135	0	0	0	40	0	95	0	0	100	35	0	0	0	380	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
23	0	23	"Data\Item\"	"HDK_Sword2.bmd"	"Explosion Blade"	1	2	3	1	147	0	56	2	4	127	155	0	0	0	45	0	110	0	134	98	48	7	0	0	380	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
24	0	24	"Data\Item\"	"CW_Sword.bmd"	"Daybreak"	1	1	1	1	115	0	22	2	4	182	218	0	0	0	40	0	90	0	0	192	30	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
25	0	25	"Data\Item\"	"CW_Sword2.bmd"	"Sword Dancer"	1	2	1	1	115	0	56	2	4	109	136	0	0	0	40	0	90	0	108	136	57	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
26	0	26	"Data\Item\"	"Sword_27.bmd"	"Flameberge"	1	1	2	0	137	0	22	1	4	115	126	0	0	0	40	0	90	0	0	193	53	0	0	0	380	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
27	0	27	"Data\Item\"	"Sword_28.bmd"	"Sword Breaker"	1	1	2	0	133	0	22	1	4	91	99	0	0	0	35	0	90	0	0	53	176	0	0	0	380	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
28	0	28	"Data\Item\"	"Sword_29.bmd"	"Rune Bastard Sword"	1	2	2	0	139	0	56	1	4	98	122	0	0	0	45	0	90	0	109	91	73	17	0	0	380	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
29	0	29	"Data\Item\"	"balhalla_sword.bmd"	"Sonic Blade"	1	1	2	0	149	0	22	1	4	109	116	0	0	0	35	0	80	0	0	49	162	0	0	0	400	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
30	0	30	"Data\Item\"	"asura.bmd"	"Asura"	1	2	2	0	149	0	56	1	4	115	140	0	0	0	45	0	90	0	112	86	70	16	0	0	400	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
31	0	31	"Data\Item\"	"sword32.bmd"	"Rune Blade"	1	2	1	1	100	0	56	2	4	104	130	0	0	0	35	0	93	0	104	135	62	9	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
32	0	32	"Data\Item\"	"Sword33.bmd"	"Sacred Glove"	1	3	1	0	52	0	260	1	2	52	58	0	0	0	25	0	65	0	0	85	35	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
33	0	33	"Data\Item\"	"Sword34.bmd"	"Holy Storm Claw"	1	3	1	0	82	0	261	1	2	82	88	0	0	0	30	0	77	0	0	100	50	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
34	0	34	"Data\Item\"	"Sword35.bmd"	"Piercing Blade Glove"	1	3	1	0	105	0	260	1	2	95	101	0	0	0	35	0	86	0	0	120	60	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
35	0	35	"Data\Item\"	"Sword36.bmd"	"Phoenix Soul Star"	1	3	3	0	147	0	270	1	2	122	128	0	0	0	40	0	98	0	0	101	51	0	0	0	380	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
36	0	36	"Data\Item\"	"balhalla_sword.bmd"	"Cyclone Sword"	1	1	2	0	149	0	22	1	4	129	144	0	0	0	40	0	90	0	0	182	50	0	0	0	400	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
37	0	37	"Data\Item\"	"blastbreak.bmd"	"Blast Break"	1	1	2	1	149	0	23	2	4	163	216	0	0	0	30	0	130	0	0	182	50	0	0	0	400	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
41	0	41	"Data\Item\"	"cokcangki.bmd"	"Pandora Pick (two-handed)"	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
42	0	42	"Data\Item\"	"blood_angelsword_s.bmd"	"Bloodangel Sword"	14	1	1	0	150	0	22	1	4	252	263	0	0	0	40	0	100	0	0	165	51	125	0	0	400	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
44	0	44	"Data\Item\"	"blood_anglesword.bmd"	"Bloodangel Magic Sword"	14	2	1	0	150	0	56	1	4	246	257	0	0	0	45	0	100	0	112	120	72	17	0	0	400	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
46	0	46	"Data\Item\"	"BloodangelClo.bmd"	"Bloodangel Claw"	14	3	1	0	150	0	270	1	2	147	157	0	0	0	35	0	100	0	0	95	30	0	0	0	400	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
48	0	48	"Data\Item\"	"sword17.bmd"	"Sword of Destruction (Bound)"	1	1	5	0	82	0	22	1	4	101	115	0	0	0	35	0	84	0	0	50	50	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
49	0	49	"Data\Item\"	"sword19.bmd"	"Thunder Blade (Bound)"	1	2	5	1	105	0	23	2	3	162	190	0	0	0	40	0	86	0	0	50	50	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
50	0	50	"Data\Item\"	"Sword34.bmd"	"Holy Storm Claw (Bound)"	1	3	5	0	82	0	261	1	2	87	95	0	0	0	30	0	77	0	0	50	50	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
51	0	51	"Data\Item\"	"absolute02_sword.bmd"	"Blessed Divine Sword of Archangel"	1	1	8	0	200	0	22	1	4	265	275	0	0	0	45	0	170	0	0	60	30	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0
52	0	52	"Data\Item\"	"sword37.bmd"	"Panthera Claw"	1	3	2	0	139	0	270	1	2	26	34	0	0	0	40	0	95	0	0	78	25	0	0	0	380	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
53	0	53	"Data\Item\"	"sword38.bmd"	"Devast Claw"	1	3	2	0	149	0	270	1	2	35	46	0	0	0	40	0	95	0	0	82	28	0	0	0	400	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
54	0	54	"Data\Item\"	"DarkangelSword.bmd"	"Darkangel Sword"	14	1	1	0	160	0	22	1	4	302	313	0	0	0	40	0	100	0	0	165	51	120	0	0	600	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
55	0	55	"Data\Item\"	"DarkangelMagicsword.bmd"	"Darkangel Magic Sword"	14	2	1	0	160	0	56	1	4	300	311	0	0	0	45	0	100	0	118	120	72	17	0	0	600	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
56	0	56	"Data\Item\"	"sword39.bmd"	"Darkangel Claw"	14	3	1	0	160	0	270	1	2	214	224	0	0	0	35	0	100	0	0	95	30	0	0	0	600	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
57	0	57	"Data\Item\"	"HolyAngelSword.bmd"	"Holyangel Sword"	14	1	1	0	180	0	22	1	4	365	376	0	0	0	40	0	100	0	0	152	47	111	0	0	800	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
58	0	58	"Data\Item\"	"HolyAngelMagicSword.bmd"	"Holyangel Magic Sword"	14	2	1	0	180	0	56	1	4	364	375	0	0	0	45	0	100	0	125	111	67	16	0	0	800	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
59	0	59	"Data\Item\"	"Sword40.bmd"	"Holyangel Claw"	14	3	1	0	180	0	270	1	2	277	287	0	0	0	35	0	100	0	0	88	28	0	0	0	800	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
60	0	60	"Data\Item\"	"sword41.bmd"	"Divine Claw of Archangel"	1	3	6	0	100	0	270	1	3	121	130	0	0	0	35	0	160	0	0	68	23	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
61	0	61	"Data\Item\"	"sword42.bmd"	"Blessed Divine Claw of Archangel"	1	3	8	0	200	0	270	1	3	136	147	0	0	0	35	0	160	0	0	60	22	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0
62	0	62	"Data\Item\"	"soulknightsword.bmd"	"Soul Sword"	14	1	1	0	200	0	22	1	4	428	439	0	0	0	40	0	100	0	0	141	44	103	0	0	900	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
63	0	63	"Data\Item\"	"SoulmagicSword.bmd"	"Soul Magic Sword"	14	2	1	0	200	0	56	1	4	427	438	0	0	0	45	0	100	0	133	103	62	15	0	0	900	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
64	0	64	"Data\Item\"	"sword43.bmd"	"Soul Claw"	14	3	1	0	200	0	270	1	2	340	350	0	0	0	35	0	100	0	0	82	26	0	0	0	900	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
65	0	65	"Data\Item\"	"CookriShortSword.bmd"	"Kukri Short Sword (Bound)"	1	81	5	0	82	0	22	1	3	100	110	0	0	0	40	0	85	0	0	47	47	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
66	0	66	"Data\Item\"	"FlatShortSword.bmd"	"Flat Short Sword"	1	81	1	0	1	0	22	1	3	1	6	0	0	0	20	0	20	0	0	50	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
67	0	67	"Data\Item\"	"DaciaShortSword.bmd"	"Dacia Short Sword"	1	81	1	0	55	0	22	1	3	50	60	0	0	0	40	0	45	0	0	40	85	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
68	0	68	"Data\Item\"	"CookriShortSword.bmd"	"Kukri Short Sword"	1	81	1	0	80	0	22	1	3	80	90	0	0	0	40	0	80	0	0	55	155	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
69	0	69	"Data\Item\"	"ParryingShortSword.bmd"	"Parrying Short Sword"	1	81	2	0	135	0	22	1	3	110	130	0	0	0	45	0	100	0	0	55	190	0	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
70	0	70	"Data\Item\"	"NovaculaShortSword.bmd"	"Novacula Short Sword"	1	81	2	0	148	0	22	1	3	130	140	0	0	0	45	0	100	0	0	53	185	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
71	0	71	"Data\Item\"	"BloodangelShortSword.bmd"	"Bloodangel Short Sword"	14	81	1	0	150	0	22	1	3	250	260	0	0	0	45	0	100	0	0	53	175	0	0	0	400	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
72	0	72	"Data\Item\"	"DarkangelShortSword.bmd"	"Darkangel Short Sword"	14	81	1	0	160	0	22	1	3	300	310	0	0	0	45	0	100	0	0	53	175	0	0	0	600	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
73	0	73	"Data\Item\"	"HolyAngelShortSword.bmd"	"Holyangel Short Sword"	14	81	1	0	180	0	22	1	3	360	370	0	0	0	45	0	100	0	0	49	162	0	0	0	800	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
74	0	74	"Data\Item\"	"SoulShortSword.bmd"	"Soul Short Sword"	14	81	1	0	200	0	22	1	3	420	440	0	0	0	45	0	100	0	0	46	151	0	0	0	900	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
75	0	75	"Data\Item\"	"Blue_eyeShortSword.bmd"	"Blue Eye Short Sword"	14	81	1	0	220	0	22	1	3	480	511	0	0	0	45	0	100	0	0	192	610	0	0	0	1000	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
76	0	76	"Data\Item\"	"AbsoluteShortSword.bmd"	"Divine Short Sword of Archangel"	1	81	6	0	86	0	22	1	3	220	230	0	0	0	45	0	160	0	0	50	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
77	0	77	"Data\Item\"	"BlessedAbsoluteShortSword.bmd"	"Blessed Divine Short Sword of Archangel"	1	81	8	0	200	0	22	1	3	260	270	0	0	0	45	0	170	0	0	25	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0
78	0	78	"Data\Item\"	"hs_blueeyeknightA.bmd"	"Blue Eye Sword"	14	1	1	0	220	0	22	1	4	492	502	0	0	0	40	0	100	0	0	568	184	460	0	0	1000	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
79	0	79	"Data\Item\"	"blue_eye_magicsword01.bmd"	"Blue Eye Magic Sword"	14	2	1	0	220	0	56	1	4	491	501	0	0	0	45	0	100	0	140	418	256	78	0	0	1000	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
80	0	80	"Data\Item\"	"sword44.bmd"	"Blue Eye Claw"	14	3	1	0	220	0	270	1	2	404	414	0	0	0	35	0	100	0	0	335	113	0	0	0	1000	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
512	1	0	"Data\Item\"	"axe01.bmd"	"Small Axe"	1	4	1	0	1	0	0	1	3	1	6	0	0	0	20	0	18	0	0	50	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
513	1	1	"Data\Item\"	"axe02.bmd"	"Hand Axe"	1	4	1	0	4	0	0	1	3	4	9	0	0	0	30	0	20	0	0	70	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
514	1	2	"Data\Item\"	"axe03.bmd"	"Double Axe"	1	4	1	0	14	0	19	1	3	14	24	0	0	0	20	0	26	0	0	90	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
515	1	3	"Data\Item\"	"axe04.bmd"	"Tomahawk"	1	4	1	0	18	0	19	1	3	18	28	0	0	0	30	0	28	0	0	100	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
516	1	4	"Data\Item\"	"axe05.bmd"	"Elven Axe"	1	4	1	0	26	0	0	1	3	26	38	0	0	0	40	0	32	0	0	50	70	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
517	1	5	"Data\Item\"	"axe06.bmd"	"Battle Axe"	1	4	1	1	30	0	19	2	3	36	44	0	0	0	20	0	36	0	0	120	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
518	1	6	"Data\Item\"	"axe07.bmd"	"Nikea Axe"	1	4	1	1	34	0	19	2	3	38	50	0	0	0	30	0	44	0	0	130	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
519	1	7	"Data\Item\"	"axe08.bmd"	"Larkan Axe"	1	4	1	1	46	0	19	2	3	54	67	0	0	0	25	0	55	0	0	140	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
520	1	8	"Data\Item\"	"axe09.bmd"	"Crescent Axe"	1	4	1	1	54	0	19	2	3	69	89	0	0	0	30	0	65	0	0	100	40	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
