//===================================================================================
// zGameServer
// ----------------------------------------------------------------------------------
// Description: World teleport gates
// ----------------------------------------------------------------------------------
// Revision: 	6:31 06.08.2013
//===================================================================================

// ----------------------------------------------------------------------------------
//ID	Flag	Map	X1	Y1	X2	Y2	Target	Dir	Level
// ----------------------------------------------------------------------------------
48	2	3	240	240	241	243	0	7	60
49	0	7	15	11	27	23	0	0	60
50	0	6	62	135	62	135	0	0	0
51	0	6	59	153	59	153	0	0	0
52	0	6	59	164	59	165	0	0	0
53	1	7	14	225	15	230	54	0	130
54	2	8	248	40	251	44	0	7	0
55	1	8	246	40	247	44	56	0	130
56	2	7	16	225	17	230	0	3	0
57	0	8	187	58	187	58	0	0	100
58	0	9	133	91	141	99	0	0	10
59	0	9	135	162	142	170	0	0	10
60	0	9	62	150	70	158	0	0	10
61	0	9	66	84	74	92	0	0	10
62	1	4	17	250	19	250	63	0	160
63	2	10	14	13	16	13	0	5	160
64	1	10	14	12	16	12	65	0	50
65	2	4	17	249	19	249	0	1	50
66	0	11	12	5	14	10	0	0	0
67	0	12	12	5	14	10	0	0	0
68	0	13	12	5	14	10	0	0	0
69	0	14	12	5	14	10	0	0	0
70	0	15	12	5	14	10	0	0	0
71	0	16	12	5	14	10	0	0	0
72	0	2	23	27	27	24	0	0	15
73	0	2	224	231	227	227	0	0	15
74	0	2	69	181	72	178	0	0	15
75	0	7	225	53	228	50	0	0	60
76	0	7	62	163	68	157	0	0	60
77	0	8	96	143	100	146	0	0	130
80	0	17	12	5	14	10	0	0	0
82	0	18	31	88	36	95	0	0	0
83	0	19	31	88	36	95	0	0	0
84	0	20	31	88	36	95	0	0	0
85	0	21	31	88	36	95	0	0	0
86	0	22	31	88	36	95	0	0	0
87	0	23	31	88	36	95	0	0	0
88	0	24	10	16	17	22	0	0	0
89	0	25	10	16	17	22	0	0	0
90	0	26	10	16	17	22	0	0	0
91	0	27	10	16	17	22	0	0	0
92	0	28	10	16	17	22	0	0	0
93	0	29	10	16	17	22	0	0	0
94	0	30	242	95	242	95	0	0	0
95	0	31	60	10	69	19	0	0	0
96	1	30	93	242	95	243	103	0	250
97	2	30	164	198	187	209	0	0	0
98	1	30	160	203	161	205	99	0	0
99	2	30	90	236	99	239	0	0	0

102	1	0	239	14	240	15	103	0	10

100	0	30	39	14	142	50	0	0	140	// Valley of Loren Warp
101	0	30	84	180	100	222	0	0	140	// Valley of Loren Warp

103	0	30	169	204	169	204	0	0	100	// Valley of Loren Warp

105	0	30	72	10	104	199	0	0	140	// Valley of Loren Warp

104	0	30	92	55	92	55	0	0	100	// Valley of Loren Warp

106	0	30	92	55	92	55	0	0	140	// Valley of Loren Warp

107	1	30	28	40	28	41	108	0	0
108	2	0	235	13	239	13	0	0	0
109	1	31	59	7	63	8	110	0	0
110	2	30	131	94	138	92	0	0	0
111	0	32	133	91	141	99	0	0	10
112	0	32	135	162	142	170	0	0	10
113	2	33	76	9	78	16	0	0	10
114	2	34	231	37	234	45	0	0	10
116	0	36	10	16	17	22	0	0	0
117	1	30	161	37	165	45	114	0	10
118	0	34	229	37	239	46	0	0	10
119	0	33	82	8	87	14	0	0	130
120	1	3	220	30	226	30	113	0	130
121	1	33	74	9	74	13	122	0	10
122	2	3	220	31	226	34	0	0	10
123	1	34	239	40	240	44	124	0	10
124	2	30	155	37	158	43	0	0	10
125	1	8	6	199	6	201	126	0	150
126	2	37	17	219	21	220	0	0	150
127	1	37	17	220	19	222	128	0	130
128	2	8	7	199	7	201	0	0	130
129	1	37	89	89	89	92	130	0	220
130	2	38	70	104	70	107	0	0	220
131	1	38	69	104	69	107	132	0	150
132	2	37	85	89	86	92	0	0	150
133	0	39	196	56	201	57	0	0	220
134	0	39	78	93	82	95	0	0	220
135	0	39	78	93	82	95	0	0	220
136	0	38	137	162	143	163	0	0	220
137	0	38	71	104	72	107	0	0	220
138	0	37	19	217	21	219	0	0	160
139	0	38	71	104	72	107	0	0	230
140	0	33	186	173	190	177	0	0	130
141	0	37	205	36	208	41	0	0	160
142	0	45	98	128	108	137	0	0	0
143	0	46	98	128	108	137	0	0	0
144	0	47	98	128	108	137	0	0	0
145	0	48	98	128	108	137	0	0	0
146	0	49	98	128	108	137	0	0	0
147	0	50	98	128	108	137	0	0	0
148	0	45	141	41	146	45	0	0	0
149	0	46	141	41	146	45	0	0	0
150	0	47	141	41	146	45	0	0	0
151	0	48	141	41	146	45	0	0	0
152	0	49	141	41	146	45	0	0	0
153	0	50	141	41	146	45	0	0	0
154	0	45	194	124	198	127	0	0	0
155	0	46	194	124	198	127	0	0	0
156	0	47	194	124	198	127	0	0	0
157	0	48	194	124	198	127	0	0	0
158	0	49	194	124	198	127	0	0	0
159	0	50	194	124	198	127	0	0	0
160	1	45	136	100	137	101	161	0	0
161	2	45	170	101	170	103	0	0	0
162	1	45	150	117	152	119	163	0	0
163	2	45	149	84	152	84	0	0	0
164	1	45	149	88	151	89	165	0	0
165	2	45	149	122	151	122	0	0	0
166	1	45	165	101	166	104	167	0	0
167	2	45	132	99	132	103	0	0	0
168	1	45	173	65	174	68	169	0	0
169	2	45	207	65	207	68	0	0	0
170	1	45	186	79	189	81	171	0	0
171	2	45	186	47	189	47	0	0	0
172	1	45	186	51	188	52	173	0	0
173	2	45	186	84	189	84	0	0	0
174	1	45	202	66	203	68	175	0	0
175	2	45	169	65	169	68	0	0	0
176	1	46	136	100	137	101	177	0	0
177	2	46	170	101	170	103	0	0	0
178	1	46	150	117	152	119	179	0	0
179	2	46	149	84	152	84	0	0	0
180	1	46	149	88	151	89	181	0	0
181	2	46	149	122	151	122	0	0	0
182	1	46	165	101	166	104	183	0	0
183	2	46	132	99	132	103	0	0	0
184	1	46	173	65	174	68	185	0	0
185	2	46	207	65	207	68	0	0	0
186	1	46	186	79	189	81	187	0	0
187	2	46	186	47	189	47	0	0	0
188	1	46	186	51	188	52	189	0	0
189	2	46	186	84	189	84	0	0	0
190	1	46	202	66	203	68	191	0	0
191	2	46	169	65	169	68	0	0	0
192	1	47	136	100	137	101	193	0	0
193	2	47	170	101	170	103	0	0	0
194	1	47	150	117	152	119	195	0	0
195	2	47	149	84	152	84	0	0	0
196	1	47	149	88	151	89	197	0	0
197	2	47	149	122	151	122	0	0	0
198	1	47	165	101	166	104	199	0	0
199	2	47	132	99	132	103	0	0	0
200	1	47	173	65	174	68	201	0	0
201	2	47	207	65	207	68	0	0	0
202	1	47	186	79	189	81	203	0	0
203	2	47	186	47	189	47	0	0	0
204	1	47	186	51	188	52	205	0	0
205	2	47	186	84	189	84	0	0	0
206	1	47	202	66	203	68	207	0	0
207	2	47	169	65	169	68	0	0	0
208	1	48	136	100	137	101	209	0	0
209	2	48	170	101	170	103	0	0	0
210	1	48	150	117	152	119	211	0	0
211	2	48	149	84	152	84	0	0	0
212	1	48	149	88	151	89	213	0	0
213	2	48	149	122	151	122	0	0	0
214	1	48	165	101	166	104	215	0	0
215	2	48	132	99	132	103	0	0	0
216	1	48	173	65	174	68	217	0	0
217	2	48	207	65	207	68	0	0	0
218	1	48	186	79	189	81	219	0	0
219	2	48	186	47	189	47	0	0	0
220	1	48	186	51	188	52	221	0	0
221	2	48	186	84	189	84	0	0	0
222	1	48	202	66	203	68	223	0	0
223	2	48	169	65	169	68	0	0	0
224	1	49	136	100	137	101	225	0	0
225	2	49	170	101	170	103	0	0	0
226	1	49	150	117	152	119	227	0	0
227	2	49	149	84	152	84	0	0	0
228	1	49	149	88	151	89	229	0	0
229	2	49	149	122	151	122	0	0	0
230	1	49	165	101	166	104	231	0	0
231	2	49	132	99	132	103	0	0	0
232	1	49	173	65	174	68	233	0	0
233	2	49	207	65	207	68	0	0	0
234	1	49	186	79	189	81	235	0	0
235	2	49	186	47	189	47	0	0	0
236	1	49	186	51	188	52	237	0	0
237	2	49	186	84	189	84	0	0	0
238	1	49	202	66	203	68	239	0	0
239	2	49	169	65	169	68	0	0	0
240	1	50	136	100	137	101	241	0	0
241	2	50	170	101	170	103	0	0	0
242	1	50	150	117	152	119	243	0	0
243	2	50	149	84	152	84	0	0	0
244	1	50	149	88	151	89	245	0	0
245	2	50	149	122	151	122	0	0	0
246	1	50	165	101	166	104	247	0	0
247	2	50	132	99	132	103	0	0	0
248	1	50	173	65	174	68	249	0	0
249	2	50	207	65	207	68	0	0	0
250	1	50	186	79	189	81	251	0	0
251	2	50	186	47	189	47	0	0	0
252	1	50	186	51	188	52	253	0	0
253	2	50	186	84	189	84	0	0	0
254	1	50	202	66	203	68	255	0	0
255	2	50	169	65	169	68	0	0	0
256	0	41	29	79	31	82	0	0	0
257	0	42	104	178	107	181	0	0	0
258	0	34	227	41	229	43	0	0	0
259	1	2	161	245	166	246	260	0	15
260	2	51	26	29	27	30	0	0	15
261	1	51	24	29	25	30	262	0	15
262	2	2	161	241	163	242	0	0	15
263	1	7	13	19	14	20	264	0	10
264	2	51	243	149	244	150	0	0	10
265	1	51	247	149	248	150	266	0	60
266	2	7	16	19	17	20	0	0	60
267	0	51	51	224	54	227	0	0	0
268	0	51	99	55	100	57	0	0	10
269	0	51	191	148	193	150	0	0	10
270	0	32	62	150	70	158	0	0	10
271	0	52	12	5	14	10	0	0	0
272	0	53	31	88	36	95	0	0	0
273	0	56	135	105	142	111	0	0	400
274	1	56	139	125	139	126	275	0	400
275	2	56	189	190	191	193	0	0	400
276	1	56	185	187	186	188	273	0	400
277	1	56	149	109	150	109	278	0	400
278	2	56	204	10	206	14	0	0	400
279	1	56	197	12	197	14	273	0	400
280	1	56	139	95	140	95	281	0	400
281	2	56	65	47	67	48	0	0	400
282	1	56	68	52	69	53	273	0	400
283	1	56	124	109	124	110	284	0	400
284	2	56	62	174	63	179	0	0	400
285	1	56	57	176	57	177	273	0	400
286	1	2	52	92	54	92	287	0	270
287	0	57	222	211	225	212	0	0	270
288	1	57	223	215	225	215	289	0	270
289	0	2	52	88	54	89	0	0	270
290	1	57	171	23	171	25	291	0	270
291	0	58	160	24	161	27	0	0	270
292	1	58	167	24	167	25	293	0	270
293	0	57	174	23	175	25	0	0	270
294	0	63	120	129	126	134	0	0	20
295	0	64	101	64	0	0	0	0	30
296	0	64	101	75	0	0	0	0	30
297	0	64	101	113	0	0	0	0	30
298	0	64	101	124	0	0	0	0	30
299	0	64	154	64	0	0	0	0	30
300	0	64	154	75	0	0	0	0	30
301	0	64	154	113	0	0	0	0	30
302	0	64	154	124	0	0	0	0	30
303	0	64	100	70	0	0	0	0	30
304	0	64	100	120	0	0	0	0	30
305	0	64	150	70	0	0	0	0	30
306	0	64	150	120	0	0	0	0	30
307	0	69	231	15	233	17	0	0	0
308	1	69	209	80	211	82	309	0	0
309	0	69	202	24	203	27	0	0	0
310	1	69	153	60	155	62	311	0	0
311	0	69	179	65	181	67	0	0	0
312	0	70	86	63	87	66	0	0	0
313	1	70	10	64	12	66	314	0	0
314	0	70	35	84	38	85	0	0	0
315	1	70	54	161	56	163	316	0	0
316	0	70	121	110	123	112	0	0	0
317	0	71	154	187	155	189	0	0	0
318	1	71	82	194	84	196	319	0	0
319	0	71	222	121	224	123	0	0	0
320	1	71	222	201	224	203	321	0	0
321	0	71	165	206	168	207	0	0	0
322	0	72	93	66	94	69	0	0	0
323	1	72	30	95	32	97	324	0	0
324	0	72	32	162	34	164	0	0	0
325	1	72	68	160	70	162	326	0	0
326	0	72	145	155	147	157	0	0	0
327	1	72	223	165	225	167	328	0	0
328	0	72	241	23	243	25	0	0	0
329	0	65	193	26	200	32	0	0	0
330	0	66	133	68	139	74	0	0	0
331	0	67	106	58	111	62	0	0	0
332	0	68	90	10	97	17	0	0	0
333	0	79	126	142	129	148	0	0	0
334	0	37	66	183	74	191	0	0	160
335	0	80	124	123	127	125	0	0	170
336	1	33	237	167	240	168	337	0	160
337	2	80	118	44	119	46	0	3	160
338	1	80	116	44	117	47	339	0	160
339	2	33	237	166	240	166	0	1	160
340	1	80	186	210	190	212	341	0	160
341	2	81	162	12	164	14	0	5	160
342	1	81	161	8	165	9	343	0	160
343	2	80	188	207	189	208	0	1	160
344	0	81	162	16	163	17	0	5	160
